"2014-01-01,""2014"",""01"",""01"",""†"","""",""M"","""",""M"","""",""M"","""",""M"","""",""M"","""",""M"","""",""M"","""",""M"","""","""","""","""",""<31"","""""
"2014-01-02,""2014"",""01"",""02"",""†"",""-19.5"","""",""-25.7"","""",""-22.6"","""",""40.6"","""",""0.0"","""","""",""M"","""",""M"","""",""M"",""43"","""","""","""",""<31"","""""
"2014-01-03,""2014"",""01"",""03"",""†"",""-12.8"","""",""-31.0"","""",""-21.9"","""",""39.9"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""","""","""",""<31"","""""
"2014-01-04,""2014"",""01"",""04"",""†"",""-2.3"","""",""-12.8"","""",""-7.6"","""",""25.6"","""",""0.0"","""","""",""M"","""",""M"",""2.9"","""",""40"","""",""18"","""",""39"","""""
"2014-01-05,""2014"",""01"",""05"",""†"",""-2.1"","""",""-4.1"","""",""-3.1"","""",""21.1"","""",""0.0"","""","""",""M"","""",""M"",""16.2"","""",""52"","""",""8"","""",""32"","""""
"2014-01-06,""2014"",""01"",""06"",""†"",""-3.4"","""",""-15.2"","""",""-9.3"","""",""27.3"","""",""0.0"","""","""",""M"","""",""M"",""10.3"","""",""63"","""",""27"","""",""63"","""""
"2014-01-07,""2014"",""01"",""07"",""†"",""-15.2"","""",""-23.7"","""",""-19.5"","""",""37.5"","""",""0.0"","""","""",""M"","""",""M"",""1.6"","""",""65"","""",""26"","""",""56"","""""
"2014-01-08,""2014"",""01"",""08"",""†"",""-10.9"","""",""-19.4"","""",""-15.2"","""",""33.2"","""",""0.0"","""","""",""M"","""",""M"",""0.4"","""",""61"","""",""24"","""",""32"","""""
"2014-01-09,""2014"",""01"",""09"",""†"",""-6.6"","""",""-18.3"","""",""-12.5"","""",""30.5"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""58"","""","""","""",""<31"","""""
"2014-01-10,""2014"",""01"",""10"",""†"",""1.2"","""",""-12.2"","""",""-5.5"","""",""23.5"","""",""0.0"","""","""",""M"","""",""M"",""1.4"","""",""57"","""","""","""",""<31"","""""
"2014-01-11,""2014"",""01"",""11"",""†"",""5.0"","""",""0.0"","""",""2.5"","""",""15.5"","""",""0.0"","""","""",""M"","""",""M"",""11.7"","""",""53"","""",""28"","""",""63"","""""
"2014-01-12,""2014"",""01"",""12"",""†"",""0.9"","""",""-2.3"","""",""-0.7"","""",""18.7"","""",""0.0"","""","""",""M"","""",""M"",""1.0"","""",""44"","""",""28"","""",""54"","""""
"2014-01-13,""2014"",""01"",""13"",""†"",""5.8"","""",""-1.6"","""",""2.1"","""",""15.9"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""42"","""",""19"","""",""33"","""""
"2014-01-14,""2014"",""01"",""14"",""†"",""3.2"","""",""-4.3"","""",""-0.6"","""",""18.6"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""39"","""",""28"","""",""32"","""""
"2014-01-15,""2014"",""01"",""15"",""†"",""-0.4"","""",""-6.9"","""",""-3.7"","""",""21.7"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""38"","""",""26"","""",""41"","""""
"2014-01-16,""2014"",""01"",""16"",""†"",""-3.3"","""",""-10.4"","""",""-6.9"","""",""24.9"","""",""0.0"","""","""",""M"","""",""M"",""2.7"","""",""37"","""",""20"","""",""41"","""""
"2014-01-17,""2014"",""01"",""17"",""†"",""-1.2"","""",""-12.7"","""",""-7.0"","""",""25.0"","""",""0.0"","""","""",""M"","""",""M"",""4.3"","""",""47"","""","""","""",""<31"","""""
"2014-01-18,""2014"",""01"",""18"",""†"",""-2.8"","""",""-9.5"","""",""-6.2"","""",""24.2"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""47"","""","""","""",""<31"","""""
"2014-01-19,""2014"",""01"",""19"",""†"",""-2.6"","""",""-10.0"","""",""-6.3"","""",""24.3"","""",""0.0"","""","""",""M"","""",""M"",""3.9"","""",""49"","""",""23"","""",""44"","""""
"2014-01-20,""2014"",""01"",""20"",""†"",""-6.4"","""",""-21.7"","""",""-14.1"","""",""32.1"","""",""0.0"","""","""",""M"","""",""M"",""0.4"","""",""55"","""",""30"","""",""35"","""""
"2014-01-21,""2014"",""01"",""21"",""†"",""-18.9"","""",""-31.7"","""",""-25.3"","""",""43.3"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""53"","""","""","""",""<31"","""""
"2014-01-22,""2014"",""01"",""22"",""†"",""-18.2"","""",""-35.3"","""",""-26.8"","""",""44.8"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""51"","""","""","""",""<31"","""""
"2014-01-23,""2014"",""01"",""23"",""†"",""-17.0"","""",""-31.0"","""",""-24.0"","""",""42.0"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""51"","""","""","""",""<31"","""""
"2014-01-24,""2014"",""01"",""24"",""†"",""-10.3"","""",""-30.9"","""",""-20.6"","""",""38.6"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""50"","""",""21"","""",""52"","""""
"2014-01-25,""2014"",""01"",""25"",""†"",""-6.5"","""",""-20.6"","""",""-13.6"","""",""31.6"","""",""0.0"","""","""",""M"","""",""M"",""3.2"","""",""49"","""",""30"","""",""59"","""""
"2014-01-26,""2014"",""01"",""26"",""†"",""-8.4"","""",""-29.0"","""",""-18.7"","""",""36.7"","""",""0.0"","""","""",""M"","""",""M"",""2.3"","""",""49"","""","""","""",""<31"","""""
"2014-01-27,""2014"",""01"",""27"",""†"",""-7.5"","""",""-18.4"","""",""-13.0"","""",""31.0"","""",""0.0"","""","""",""M"","""",""M"","""",""M"",""54"","""","""","""",""<31"","""""
"2014-01-28,""2014"",""01"",""28"",""†"",""-15.0"","""",""-20.1"","""",""-17.6"","""",""35.6"","""",""0.0"","""","""",""M"","""",""M"",""0.4"","""",""56"","""",""25"","""",""43"","""""
"2014-01-29,""2014"",""01"",""29"",""†"",""-11.0"","""",""-20.0"","""",""-15.5"","""",""33.5"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""54"","""",""26"","""",""48"","""""
"2014-01-30,""2014"",""01"",""30"",""†"",""-4.4"","""",""-18.0"","""",""-11.2"","""",""29.2"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""51"","""",""20"","""",""43"","""""
"2014-01-31,""2014"",""01"",""31"",""†"",""-3.2"","""",""-14.5"","""",""-8.9"","""",""26.9"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""50"","""",""29"","""",""37"","""""
"2014-02-01,""2014"",""02"",""01"",""†"",""-1.5"","""",""-16.7"","""",""-9.1"","""",""27.1"","""",""0.0"","""","""",""M"","""",""M"",""12.5"","""",""49"","""","""","""",""<31"","""""
"2014-02-02,""2014"",""02"",""02"",""†"",""-2.2"","""",""-14.3"","""",""-8.3"","""",""26.3"","""",""0.0"","""","""",""M"","""",""M"",""0.4"","""",""60"","""",""32"","""",""39"","""""
"2014-02-03,""2014"",""02"",""03"",""†"",""-6.7"","""",""-21.2"","""",""-14.0"","""",""32.0"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""59"","""","""","""",""<31"","""""
"2014-02-04,""2014"",""02"",""04"",""†"",""-6.9"","""",""-21.7"","""",""-14.3"","""",""32.3"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""59"","""","""","""",""<31"","""""
"2014-02-05,""2014"",""02"",""05"",""†"",""-8.5"","""",""-20.4"","""",""-14.5"","""",""32.5"","""",""0.0"","""","""",""M"","""",""M"",""2.1"","""",""58"","""",""2"","""",""35"","""""
"2014-02-06,""2014"",""02"",""06"",""†"",""-9.0"","""",""-23.2"","""",""-16.1"","""",""34.1"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""60"","""",""26"","""",""44"","""""
"2014-02-07,""2014"",""02"",""07"",""†"",""-11.4"","""",""-14.0"","""",""-12.7"","""",""30.7"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""58"","""",""27"","""",""41"","""""
"2014-02-08,""2014"",""02"",""08"",""†"",""-8.0"","""",""-19.3"","""",""-13.7"","""",""31.7"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""57"","""",""25"","""",""33"","""""
"2014-02-09,""2014"",""02"",""09"",""†"",""-9.4"","""",""-22.4"","""",""-15.9"","""",""33.9"","""",""0.0"","""","""",""M"","""",""M"",""1.3"","""",""57"","""","""","""",""<31"","""""
"2014-02-10,""2014"",""02"",""10"",""†"",""-9.9"","""",""-20.5"","""",""-15.2"","""",""33.2"","""",""0.0"","""","""",""M"","""",""M"",""0.7"","""",""58"","""",""28"","""",""41"","""""
"2014-02-11,""2014"",""02"",""11"",""†"",""-12.4"","""",""-27.0"","""",""-19.7"","""",""37.7"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""58"","""",""28"","""",""32"","""""
"2014-02-12,""2014"",""02"",""12"",""†"",""-7.9"","""",""-28.1"","""",""-18.0"","""",""36.0"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""58"","""","""","""",""<31"","""""
"2014-02-13,""2014"",""02"",""13"",""†"",""-4.8"","""",""-19.5"","""",""-12.2"","""",""30.2"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""57"","""","""","""",""<31"","""""
"2014-02-14,""2014"",""02"",""14"",""†"",""-3.5"","""",""-11.8"","""",""-7.7"","""",""25.7"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""57"","""",""29"","""",""33"","""""
"2014-02-15,""2014"",""02"",""15"",""†"",""-6.9"","""",""-17.6"","""",""-12.3"","""",""30.3"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""57"","""",""29"","""",""37"","""""
"2014-02-16,""2014"",""02"",""16"",""†"",""-10.3"","""",""-17.8"","""",""-14.1"","""",""32.1"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""57"","""",""29"","""",""32"","""""
"2014-02-17,""2014"",""02"",""17"",""†"",""-8.5"","""",""-26.6"","""",""-17.6"","""",""35.6"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""58"","""",""8"","""",""44"","""""
"2014-02-18,""2014"",""02"",""18"",""†"",""-2.8"","""",""-10.7"","""",""-6.8"","""",""24.8"","""",""0.0"","""","""",""M"","""",""M"",""1.8"","""",""57"","""",""28"","""",""44"","""""
"2014-02-19,""2014"",""02"",""19"",""†"",""2.6"","""",""-12.6"","""",""-5.0"","""",""23.0"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""59"","""",""29"","""",""54"","""""
"2014-02-20,""2014"",""02"",""20"",""†"",""1.0"","""",""-12.5"","""",""-5.8"","""",""23.8"","""",""0.0"","""","""",""M"","""",""M"",""13.3"","""",""58"","""",""11"","""",""41"","""""
"2014-02-21,""2014"",""02"",""21"",""†"",""3.2"","""",""-2.2"","""",""0.5"","""",""17.5"","""",""0.0"","""","""",""M"","""",""M"",""5.2"","""",""58"","""",""22"","""",""80"","""""
"2014-02-22,""2014"",""02"",""22"",""†"",""-0.7"","""",""-4.8"","""",""-2.8"","""",""20.8"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""54"","""",""26"","""",""65"","""""
"2014-02-23,""2014"",""02"",""23"",""†"",""-3.4"","""",""-8.9"","""",""-6.2"","""",""24.2"","""",""0.0"","""","""",""M"","""",""M"",""1.1"","""",""54"","""",""30"","""",""46"","""""
"2014-02-24,""2014"",""02"",""24"",""†"",""-8.9"","""",""-14.9"","""",""-11.9"","""",""29.9"","""",""0.0"","""","""",""M"","""",""M"",""3.3"","""",""60"","""",""28"","""",""46"","""""
"2014-02-25,""2014"",""02"",""25"",""†"",""-9.4"","""",""-18.9"","""",""-14.2"","""",""32.2"","""",""0.0"","""","""",""M"","""",""M"",""1.8"","""",""62"","""",""31"","""",""43"","""""
"2014-02-26,""2014"",""02"",""26"",""†"",""-13.2"","""",""-17.4"","""",""-15.3"","""",""33.3"","""",""0.0"","""","""",""M"","""",""M"",""0.9"","""",""62"","""",""28"","""",""46"","""""
"2014-02-27,""2014"",""02"",""27"",""†"",""-12.8"","""",""-18.7"","""",""-15.8"","""",""33.8"","""",""0.0"","""","""",""M"","""",""M"",""1.1"","""",""60"","""",""31"","""",""63"","""""
"2014-02-28,""2014"",""02"",""28"",""†"",""-13.9"","""",""-30.3"","""",""-22.1"","""",""40.1"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""55"","""","""","""",""<31"","""""
"2014-03-01,""2014"",""03"",""01"",""†"",""-5.4"","""",""-14.4"","""",""-9.9"","""",""27.9"","""",""0.0"","""","""",""M"","""",""M"",""4.7"","""",""57"","""",""30"","""",""44"","""""
