"2014-03-02,""2014"",""03"",""02"",""†"",""-12.5"","""",""-18.9"","""",""-15.7"","""",""33.7"","""",""0.0"","""","""",""M"","""",""M"",""0.5"","""",""56"","""",""31"","""",""41"","""""
"2014-03-03,""2014"",""03"",""03"",""†"",""-14.5"","""",""-25.8"","""",""-20.2"","""",""38.2"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""57"","""",""32"","""",""50"","""""
"2014-03-04,""2014"",""03"",""04"",""†"",""-10.0"","""",""-26.4"","""",""-18.2"","""",""36.2"","""",""0.0"","""","""",""M"","""",""M"",""1.0"","""",""57"","""","""","""",""<31"","""""
"2014-03-05,""2014"",""03"",""05"",""†"",""-7.0"","""",""-22.4"","""",""-14.7"","""",""32.7"","""",""0.0"","""","""",""M"","""",""M"",""0.4"","""",""59"","""","""","""",""<31"","""""
"2014-03-06,""2014"",""03"",""06"",""†"",""-6.9"","""",""-26.5"","""",""-16.7"","""",""34.7"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""59"","""","""","""",""<31"","""""
"2014-03-07,""2014"",""03"",""07"",""†"",""3.4"","""",""-20.6"","""",""-8.6"","""",""26.6"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""59"","""","""","""",""<31"","""""
"2014-03-08,""2014"",""03"",""08"",""†"",""1.7"","""",""-12.7"","""",""-5.5"","""",""23.5"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""59"","""",""36"","""",""35"","""""
"2014-03-09,""2014"",""03"",""09"",""†"",""-1.8"","""",""-15.4"","""",""-8.6"","""",""26.6"","""",""0.0"","""","""",""M"","""",""M"",""0.4"","""",""58"","""",""28"","""",""35"","""""
"2014-03-10,""2014"",""03"",""10"",""†"",""5.0"","""",""-7.1"","""",""-1.1"","""",""19.1"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""58"","""",""29"","""",""46"","""""
"2014-03-11,""2014"",""03"",""11"",""†"",""6.2"","""",""-1.7"","""",""2.3"","""",""15.7"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""55"","""",""29"","""",""52"","""""
"2014-03-12,""2014"",""03"",""12"",""†"",""0.9"","""",""-17.3"","""",""-8.2"","""",""26.2"","""",""0.0"","""","""",""M"","""",""M"",""3.9"","""",""50"","""",""1"","""",""44"","""""
"2014-03-13,""2014"",""03"",""13"",""†"",""-9.3"","""",""-20.2"","""",""-14.8"","""",""32.8"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""49"","""",""30"","""",""37"","""""
"2014-03-14,""2014"",""03"",""14"",""†"",""7.6"","""",""-9.3"","""",""-0.9"","""",""18.9"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""49"","""",""28"","""",""50"","""""
"2014-03-15,""2014"",""03"",""15"",""†"",""1.1"","""",""-12.0"","""",""-5.5"","""",""23.5"","""",""0.0"","""","""",""M"","""",""M"",""0.9"","""",""44"","""",""29"","""",""57"","""""
"2014-03-16,""2014"",""03"",""16"",""†"",""-11.8"","""",""-23.2"","""",""-17.5"","""",""35.5"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""44"","""","""","""",""<31"","""""
"2014-03-17,""2014"",""03"",""17"",""†"",""-7.2"","""",""-24.9"","""",""-16.1"","""",""34.1"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""44"","""","""","""",""<31"","""""
"2014-03-18,""2014"",""03"",""18"",""†"",""0.9"","""",""-11.8"","""",""-5.5"","""",""23.5"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""44"","""","""","""",""<31"","""""
"2014-03-19,""2014"",""03"",""19"",""†"",""4.3"","""",""-5.0"","""",""-0.4"","""",""18.4"","""",""0.0"","""","""",""M"","""",""M"",""4.1"","""",""43"","""",""27"","""",""33"","""""
"2014-03-20,""2014"",""03"",""20"",""†"",""1.8"","""",""-3.4"","""",""-0.8"","""",""18.8"","""",""0.0"","""","""",""M"","""",""M"",""0.9"","""",""40"","""",""30"","""",""69"","""""
"2014-03-21,""2014"",""03"",""21"",""†"",""1.1"","""",""-5.4"","""",""-2.2"","""",""20.2"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""40"","""",""34"","""",""35"","""""
"2014-03-22,""2014"",""03"",""22"",""†"",""-0.1"","""",""-8.1"","""",""-4.1"","""",""22.1"","""",""0.0"","""","""",""M"","""",""M"",""15.2"","""",""53"","""",""28"","""",""54"","""""
"2014-03-23,""2014"",""03"",""23"",""†"",""-8.0"","""",""-19.7"","""",""-13.9"","""",""31.9"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""48"","""",""28"","""",""39"","""""
"2014-03-24,""2014"",""03"",""24"",""†"",""-6.4"","""",""-21.7"","""",""-14.1"","""",""32.1"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""48"","""",""28"","""",""39"","""""
"2014-03-25,""2014"",""03"",""25"",""†"",""-3.1"","""",""-21.8"","""",""-12.5"","""",""30.5"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""47"","""",""29"","""",""50"","""""
"2014-03-26,""2014"",""03"",""26"",""†"",""-8.6"","""",""-20.4"","""",""-14.5"","""",""32.5"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""47"","""",""29"","""",""43"","""""
"2014-03-27,""2014"",""03"",""27"",""†"",""1.1"","""",""-20.6"","""",""-9.8"","""",""27.8"","""",""0.0"","""","""",""M"","""",""M"",""2.3"","""",""47"","""",""17"","""",""39"","""""
"2014-03-28,""2014"",""03"",""28"",""†"",""7.1"","""",""-0.1"","""",""3.5"","""",""14.5"","""",""0.0"","""","""",""M"","""",""M"",""10.7"","""",""47"","""",""31"","""",""43"","""""
"2014-03-29,""2014"",""03"",""29"",""†"",""2.5"","""",""-1.4"","""",""0.6"","""",""17.4"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""41"","""",""3"","""",""33"","""""
"2014-03-30,""2014"",""03"",""30"",""†"",""4.0"","""",""-4.4"","""",""-0.2"","""",""18.2"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""40"","""",""29"","""",""35"","""""
"2014-03-31,""2014"",""03"",""31"",""†"",""8.1"","""",""-5.1"","""",""1.5"","""",""16.5"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""37"","""","""","""",""<31"","""""
"2014-04-01,""2014"",""04"",""01"",""†"",""6.5"","""",""-0.7"","""",""2.9"","""",""15.1"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""32"","""",""31"","""",""41"","""""
"2014-04-02,""2014"",""04"",""02"",""†"",""1.0"","""",""-3.3"","""",""-1.2"","""",""19.2"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""27"","""",""26"","""",""44"","""""
"2014-04-03,""2014"",""04"",""03"",""†"",""2.6"","""",""-6.9"","""",""-2.2"","""",""20.2"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""26"","""",""11"","""",""32"","""""
"2014-04-04,""2014"",""04"",""04"",""†"",""4.5"","""",""-0.2"","""",""2.2"","""",""15.8"","""",""0.0"","""","""",""M"","""",""M"",""8.2"","""",""24"","""",""24"","""",""43"","""""
"2014-04-05,""2014"",""04"",""05"",""†"",""2.0"","""",""-4.8"","""",""-1.4"","""",""19.4"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""20"","""",""29"","""",""70"","""""
"2014-04-06,""2014"",""04"",""06"",""†"",""9.0"","""",""-9.6"","""",""-0.3"","""",""18.3"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""19"","""","""","""",""<31"","""""
"2014-04-07,""2014"",""04"",""07"",""†"",""7.0"","""",""-5.1"","""",""1.0"","""",""17.0"","""",""0.0"","""","""",""M"","""",""M"",""9.9"","""",""13"","""",""11"","""",""33"","""""
"2014-04-08,""2014"",""04"",""08"",""†"",""6.6"","""",""-0.2"","""",""3.2"","""",""14.8"","""",""0.0"","""","""",""M"","""",""M"",""2.9"","""",""9"","""",""29"","""",""39"","""""
"2014-04-09,""2014"",""04"",""09"",""†"",""5.5"","""",""-1.6"","""",""2.0"","""",""16.0"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""30"","""",""43"","""""
"2014-04-10,""2014"",""04"",""10"",""†"",""16.5"","""",""1.0"","""",""8.8"","""",""9.2"","""",""0.0"","""","""",""M"","""",""M"",""3.0"","""","""","""",""29"","""",""50"","""""
"2014-04-11,""2014"",""04"",""11"",""†"",""11.7"","""",""-1.7"","""",""5.0"","""",""13.0"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""","""","""",""<31"","""""
"2014-04-12,""2014"",""04"",""12"",""†"",""10.9"","""",""-1.1"","""",""4.9"","""",""13.1"","""",""0.0"","""","""",""M"","""",""M"",""1.0"","""","""","""","""","""",""<31"","""""
"2014-04-13,""2014"",""04"",""13"",""†"",""16.5"","""",""4.1"","""",""10.3"","""",""7.7"","""",""0.0"","""","""",""M"","""",""M"",""1.3"","""","""","""","""","""",""<31"","""""
"2014-04-14,""2014"",""04"",""14"",""†"",""17.7"","""",""-0.4"","""",""8.7"","""",""9.3"","""",""0.0"","""","""",""M"","""",""M"",""2.9"","""","""","""",""21"","""",""69"","""""
"2014-04-15,""2014"",""04"",""15"",""†"",""-0.1"","""",""-7.4"","""",""-3.8"","""",""21.8"","""",""0.0"","""","""",""M"","""",""M"",""7.6"","""",""1"","""",""30"","""",""59"","""""
"2014-04-16,""2014"",""04"",""16"",""†"",""1.4"","""",""-13.7"","""",""-6.2"","""",""24.2"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""",""8"","""","""","""",""<31"","""""
"2014-04-17,""2014"",""04"",""17"",""†"",""7.2"","""",""-3.3"","""",""2.0"","""",""16.0"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""",""3"","""",""11"","""",""46"","""""
"2014-04-18,""2014"",""04"",""18"",""†"",""7.6"","""",""-0.5"","""",""3.6"","""",""14.4"","""",""0.0"","""","""",""M"","""",""M"",""3.5"","""","""","""",""29"","""",""35"","""""
"2014-04-19,""2014"",""04"",""19"",""†"",""10.0"","""",""-1.6"","""",""4.2"","""",""13.8"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""","""","""","""","""",""<31"","""""
"2014-04-20,""2014"",""04"",""20"",""†"",""14.9"","""",""-2.1"","""",""6.4"","""",""11.6"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""17"","""",""32"","""""
"2014-04-21,""2014"",""04"",""21"",""†"",""20.7"","""",""6.8"","""",""13.8"","""",""4.2"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""33"","""",""33"","""""
"2014-04-22,""2014"",""04"",""22"",""†"",""9.8"","""",""2.3"","""",""6.1"","""",""11.9"","""",""0.0"","""","""",""M"","""",""M"",""8.9"","""","""","""",""30"","""",""56"","""""
"2014-04-23,""2014"",""04"",""23"",""†"",""6.9"","""",""-2.8"","""",""2.1"","""",""15.9"","""",""0.0"","""","""",""M"","""",""M"",""1.3"","""","""","""",""29"","""",""46"","""""
"2014-04-24,""2014"",""04"",""24"",""†"",""10.7"","""",""-3.9"","""",""3.4"","""",""14.6"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""33"","""",""33"","""""
"2014-04-25,""2014"",""04"",""25"",""†"",""10.1"","""",""2.4"","""",""6.3"","""",""11.7"","""",""0.0"","""","""",""M"","""",""M"",""4.7"","""","""","""",""10"","""",""44"","""""
"2014-04-26,""2014"",""04"",""26"",""†"",""7.0"","""",""1.1"","""",""4.1"","""",""13.9"","""",""0.0"","""","""",""M"","""",""M"",""0.2"","""","""","""",""33"","""",""39"","""""
"2014-04-27,""2014"",""04"",""27"",""†"",""12.3"","""",""0.5"","""",""6.4"","""",""11.6"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""2"","""",""33"","""""
"2014-04-28,""2014"",""04"",""28"",""†"",""14.1"","""",""0.9"","""",""7.5"","""",""10.5"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""9"","""",""33"","""""
"2014-04-29,""2014"",""04"",""29"",""†"",""8.3"","""",""5.2"","""",""6.8"","""",""11.2"","""",""0.0"","""","""",""M"","""",""M"",""19.7"","""","""","""",""13"","""",""52"","""""
"2014-04-30,""2014"",""04"",""30"",""†"",""7.2"","""",""4.8"","""",""6.0"","""",""12.0"","""",""0.0"","""","""",""M"","""",""M"",""3.5"","""",""0"",""T"",""11"","""",""39"","""""
"2014-05-01,""2014"",""05"",""01"",""†"",""12.5"","""",""6.6"","""",""9.6"","""",""8.4"","""",""0.0"","""","""",""M"","""",""M"",""2.8"","""","""","""",""27"","""",""37"","""""
"2014-05-02,""2014"",""05"",""02"",""†"",""10.6"","""",""5.5"","""",""8.1"","""",""9.9"","""",""0.0"","""","""",""M"","""",""M"",""0.9"","""","""","""",""30"","""",""32"","""""
"2014-05-03,""2014"",""05"",""03"",""†"",""10.7"","""",""1.1"","""",""5.9"","""",""12.1"","""",""0.0"","""","""",""M"","""",""M"",""13.5"","""","""","""",""29"","""",""56"","""""
"2014-05-04,""2014"",""05"",""04"",""†"",""7.6"","""",""1.7"","""",""4.7"","""",""13.3"","""",""0.0"","""","""",""M"","""",""M"",""1.7"","""","""","""",""31"","""",""54"","""""
"2014-05-05,""2014"",""05"",""05"",""†"",""13.7"","""",""-0.2"","""",""6.8"","""",""11.2"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""31"","""",""32"","""""
"2014-05-06,""2014"",""05"",""06"",""†"",""13.1"","""",""0.6"","""",""6.9"","""",""11.1"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""36"","""",""35"","""""
"2014-05-07,""2014"",""05"",""07"",""†"",""14.8"","""",""2.5"","""",""8.7"","""",""9.3"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""9"","""",""32"","""""
"2014-05-08,""2014"",""05"",""08"",""†"",""20.2"","""",""6.9"","""",""13.6"","""",""4.4"","""",""0.0"","""","""",""M"","""",""M"",""1.5"","""","""","""",""8"","""",""37"","""""
"2014-05-09,""2014"",""05"",""09"",""†"",""24.5"","""",""9.7"","""",""17.1"","""",""0.9"","""",""0.0"","""","""",""M"","""",""M"",""0.6"","""","""","""",""20"","""",""37"","""""
"2014-05-10,""2014"",""05"",""10"",""†"",""18.1"","""",""4.8"","""",""11.5"","""",""6.5"","""",""0.0"","""","""",""M"","""",""M"",""1.1"","""","""","""",""30"","""",""48"","""""
"2014-05-11,""2014"",""05"",""11"",""†"",""22.5"","""",""4.0"","""",""13.3"","""",""4.7"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""",""26"","""",""37"","""""
"2014-05-12,""2014"",""05"",""12"",""†"",""24.0"","""",""6.6"","""",""15.3"","""",""2.7"","""",""0.0"","""","""",""M"","""",""M"",""0.0"","""","""","""","""","""",""<31"","""""
"2014-05-13,""2014"",""05"",""13"",""†"",""23.1"","""",""12.5"","""",""17.8"","""",""0.2"","""",""0.0"","""","""",""M"","""",""M"",""1.7"","""","""","""",""18"","""",""57"","""""
